"income","female","age","job","num_dependents","rent","own_res","new_car","chk_acct","sav_acct","num_accts","mobile","product"
95660,"0",31,"2",1,"0","1","0",3,0,2,"0",2
29100,"0",34,"3",1,"0","0","0",0,0,3,"1",1
19130,"0",36,"2",1,"0","1","0",1,3,1,"0",3
12250,"0",37,"2",1,"0","1","0",2,0,2,"0",2
64580,"0",39,"3",2,"0","1","1",3,0,4,"0",0
71740,"0",30,"3",1,"0","1","0",0,4,3,"0",0
7090,"0",27,"0",1,"0","1","1",2,3,1,"0",2
9510,"0",27,"2",1,"1","0","0",1,1,1,"0",0
15260,"0",66,"3",1,"0","0","0",0,0,4,"1",4
140270,"0",27,"3",1,"0","1","1",1,0,3,"0",0
67580,"0",31,"2",1,"0","1","0",0,0,2,"0",0
13450,"0",26,"2",1,"0","1","0",0,0,2,"0",0
63040,"0",36,"2",1,"0","1","0",3,4,4,"0",4
27820,"0",31,"3",1,"0","1","1",3,2,3,"0",2
26290,"0",29,"2",1,"0","1","0",1,0,2,"0",3
96290,"0",24,"2",1,"0","1","0",0,0,3,"1",0
15250,"0",34,"2",2,"0","1","1",3,3,3,"0",3
46230,"0",40,"3",1,"0","1","0",3,1,2,"0",0
15250,"0",34,"2",2,"0","1","1",3,3,3,"0",3
12830,"0",25,"2",1,"1","0","1",3,4,3,"0",4
159450,"0",58,"2",1,"1","0","0",1,0,1,"0",0
72970,"0",36,"2",1,"1","0","0",0,0,4,"0",0
31810,"0",26,"2",1,"0","1","0",3,0,1,"0",4
125790,"0",44,"3",1,"0","0","0",1,0,4,"1",0
13130,"0",20,"2",1,"0","1","0",3,0,4,"0",4
27620,"0",25,"2",1,"0","1","0",1,4,4,"0",0
59650,"0",30,"3",1,"0","1","0",1,0,4,"1",2
72380,"0",32,"2",2,"0","1","0",3,4,4,"0",3
12250,"0",37,"2",1,"0","1","0",2,0,2,"0",2
13310,"0",22,"2",1,"0","1","0",1,0,1,"0",0
47460,"0",25,"1",1,"0","1","0",1,0,1,"0",0
74850,"0",53,"3",1,"0","1","0",3,4,0,"1",0
16800,"0",35,"2",1,"0","1","0",0,2,4,"0",1
78820,"0",45,"2",2,"0","0","0",0,0,3,"0",4
19250,"0",26,"2",1,"0","1","0",2,0,2,"0",2
67610,"0",68,"2",1,"1","0","1",3,4,2,"0",0
16200,"0",30,"2",1,"0","1","0",0,0,2,"0",3
80860,"0",42,"3",1,"0","1","1",1,1,4,"0",0
50960,"0",30,"3",1,"0","1","0",1,0,2,"0",0
27600,"0",36,"2",1,"0","0","0",1,4,4,"1",4
12230,"1",46,"2",1,"1","0","1",1,0,4,"0",0
11360,"0",32,"2",2,"0","0","0",1,3,4,"0",0
19430,"0",23,"2",1,"0","1","0",3,0,1,"0",0
20580,"1",33,"2",1,"0","1","0",3,0,2,"0",2
14730,"0",39,"2",1,"0","1","0",3,0,1,"0",4
17780,"0",26,"0",1,"1","0","1",1,0,1,"0",0
15680,"0",24,"1",1,"1","0","0",3,1,2,"0",4
25800,"0",41,"1",2,"0","1","0",3,2,1,"0",0
21240,"0",24,"2",1,"1","0","0",0,0,2,"0",0
12160,"0",23,"2",1,"1","0","1",0,0,1,"0",0
4260,"0",39,"1",1,"0","1","0",3,0,4,"0",4
9320,"0",24,"2",1,"0","1","0",3,0,2,"0",2
16700,"0",22,"2",1,"0","1","0",1,0,1,"0",0
33780,"0",31,"2",1,"0","1","0",3,4,2,"1",1
15670,"0",22,"2",1,"0","1","0",1,0,2,"0",1
7080,"0",38,"1",2,"0","1","0",0,0,2,"0",3
20960,"0",49,"1",2,"0","1","0",3,0,3,"0",3
96290,"0",24,"2",1,"0","1","0",0,0,3,"1",0
12620,"1",49,"1",1,"0","1","0",0,4,4,"0",4
13310,"0",22,"2",1,"0","1","0",1,0,1,"0",0
67610,"0",68,"2",1,"1","0","1",3,4,2,"0",0
20300,"0",24,"2",1,"0","1","0",1,4,3,"0",1
64160,"0",59,"2",1,"1","0","0",1,0,4,"0",0
14590,"0",43,"1",1,"0","1","0",3,0,2,"0",2
12130,"0",47,"2",1,"0","1","0",3,2,4,"0",3
10920,"0",49,"2",1,"0","1","0",1,0,2,"0",4
22490,"0",30,"3",2,"0","1","1",0,1,3,"0",3
13720,"1",36,"2",1,"0","1","1",0,0,3,"0",0
68720,"1",55,"2",1,"0","1","0",0,0,1,"0",0
4260,"0",39,"1",1,"0","1","0",3,0,4,"0",4
30770,"0",52,"2",1,"0","1","0",3,0,2,"0",4
24040,"0",26,"2",1,"0","1","0",3,0,2,"0",2
6260,"0",24,"1",1,"0","1","0",0,0,2,"0",0
24060,"0",23,"2",1,"1","0","0",0,0,3,"0",0
61430,"0",58,"1",1,"0","0","0",0,0,4,"1",0
9320,"0",24,"2",1,"0","1","0",3,0,2,"0",2
12040,"0",35,"2",1,"1","0","1",3,1,2,"0",1
32290,"0",38,"3",1,"0","1","0",3,4,0,"1",4
9390,"0",28,"2",1,"0","1","1",2,2,3,"0",0
4260,"0",39,"1",1,"0","1","0",3,0,4,"0",4
13820,"0",28,"2",1,"0","1","0",3,0,2,"0",1
147820,"0",60,"3",1,"0","0","0",1,1,4,"0",0
25790,"0",33,"1",2,"0","1","1",0,0,1,"0",0
9020,"0",21,"2",1,"1","0","0",0,0,3,"0",0
21000,"0",37,"2",1,"0","1","0",2,0,2,"0",0
27120,"0",41,"2",2,"0","1","0",0,0,4,"0",0
16200,"0",30,"2",1,"0","1","0",0,0,2,"0",3
7540,"0",38,"2",1,"0","1","0",1,4,4,"0",4
64160,"0",59,"2",1,"1","0","0",1,0,4,"0",0
72380,"0",32,"2",2,"0","1","0",3,4,4,"0",3
106230,"0",38,"3",2,"0","0","0",0,0,4,"1",4
101440,"0",21,"2",1,"0","1","0",3,1,3,"0",4
9000,"0",23,"2",1,"0","1","1",0,4,2,"0",0
22780,"0",28,"2",1,"0","1","1",1,1,1,"0",0
10680,"0",28,"2",2,"0","1","0",1,0,4,"0",4
143180,"0",57,"3",1,"0","0","1",1,0,4,"0",0
38500,"0",27,"2",1,"0","1","0",3,0,3,"1",1
24060,"0",23,"2",1,"1","0","0",0,0,3,"0",0
11490,"0",46,"2",1,"0","1","0",3,3,2,"0",3
39720,"0",25,"2",1,"1","0","0",3,0,3,"0",4
16800,"0",35,"2",1,"0","1","0",0,2,4,"0",1
64680,"0",52,"3",1,"0","1","0",1,4,0,"0",0
29690,"0",25,"2",1,"1","0","0",1,0,1,"0",0
27180,"0",20,"1",1,"1","0","1",1,0,2,"0",0
101440,"0",21,"2",1,"0","1","0",3,1,3,"0",4
21970,"0",43,"2",2,"0","1","0",3,4,3,"1",4
63500,"0",31,"2",1,"0","1","0",0,4,4,"0",0
33980,"0",39,"1",1,"0","1","1",0,0,3,"0",4
49330,"0",25,"2",1,"0","1","0",1,0,3,"0",0
5710,"0",65,"2",1,"0","1","1",0,0,4,"0",4
11080,"0",28,"2",1,"0","1","0",0,0,3,"0",0
96290,"0",24,"2",1,"0","1","0",0,0,3,"1",0
9600,"0",30,"2",1,"0","1","0",3,3,3,"0",2
11310,"0",33,"2",1,"0","1","0",0,0,0,"0",0
14730,"0",39,"2",1,"0","1","0",3,0,1,"0",4
18640,"0",30,"2",1,"0","1","0",3,1,2,"0",0
12820,"0",20,"2",1,"1","0","0",0,0,2,"0",0
6250,"0",26,"1",1,"0","1","0",1,0,1,"0",1
83350,"0",47,"2",1,"0","0","0",0,4,4,"1",0
14030,"0",28,"2",1,"1","0","1",0,0,2,"0",4
37770,"0",50,"2",1,"0","1","0",3,3,2,"0",4
90550,"0",35,"1",2,"0","0","0",3,4,2,"0",4
14100,"0",35,"2",1,"0","1","0",1,2,4,"0",2
19240,"0",27,"2",1,"1","0","0",1,4,1,"0",0
21970,"0",43,"2",2,"0","1","0",3,4,3,"1",4
21500,"0",24,"2",1,"0","1","1",1,0,2,"0",0
22410,"0",48,"1",2,"1","0","1",0,0,1,"0",3
27080,"0",27,"1",1,"0","1","0",3,0,1,"0",3
36500,"0",22,"2",1,"1","0","0",0,0,1,"0",4
15740,"0",50,"2",1,"0","1","0",3,0,2,"0",2
12130,"0",47,"2",1,"0","1","0",3,2,4,"0",3
9590,"0",29,"2",1,"0","1","0",1,0,2,"0",0
12850,"0",32,"2",1,"1","0","1",0,4,3,"0",0
12040,"0",35,"2",1,"1","0","1",3,1,2,"0",1
77580,"0",29,"2",1,"1","0","0",1,3,4,"1",4
40570,"1",43,"2",1,"0","1","0",1,0,3,"0",0
30790,"0",36,"2",1,"0","1","1",3,4,2,"0",4
18420,"0",34,"2",1,"0","1","1",0,0,1,"0",0
10920,"0",49,"2",1,"0","1","0",1,0,2,"0",4
32340,"0",23,"1",1,"1","0","0",0,0,1,"0",0
12830,"0",25,"2",1,"1","0","1",3,4,3,"0",4
24060,"0",23,"2",1,"1","0","0",0,0,3,"0",0
46790,"0",35,"1",1,"0","1","0",3,0,3,"1",3
7450,"0",28,"1",1,"0","1","0",2,0,2,"0",0
7500,"0",27,"0",1,"0","1","0",0,0,0,"0",0
10680,"0",28,"2",2,"0","1","0",1,0,4,"0",4
21460,"0",23,"2",1,"1","0","0",3,0,1,"0",3
73080,"0",70,"3",1,"0","0","1",1,0,0,"0",4
47360,"0",25,"1",1,"0","1","0",1,0,1,"0",0
7950,"0",53,"2",1,"0","1","0",0,0,1,"0",0
38350,"0",45,"1",1,"0","1","0",3,4,4,"0",4
27120,"0",41,"2",2,"0","1","0",0,0,4,"0",0
12360,"0",23,"2",1,"1","0","0",3,0,1,"0",4
12850,"0",32,"2",1,"1","0","1",0,4,3,"0",0
4330,"0",24,"2",2,"1","0","0",1,3,1,"0",0
15770,"0",20,"2",1,"0","1","0",1,3,1,"0",1
59540,"0",41,"1",1,"0","1","0",1,0,3,"0",1
13460,"0",42,"2",2,"0","0","0",3,1,4,"0",4
23150,"0",52,"1",1,"0","1","0",0,0,4,"0",4
44630,"0",26,"3",1,"0","1","0",3,0,2,"0",0
36170,"0",20,"2",1,"1","0","0",2,4,4,"0",4
48430,"0",43,"2",1,"1","0","1",0,0,4,"0",0
39660,"0",33,"2",1,"1","0","1",0,0,4,"0",0
23230,"0",24,"2",1,"1","0","0",1,0,3,"0",4
95660,"0",31,"2",1,"0","1","0",3,0,2,"0",2
107220,"0",35,"1",1,"0","1","1",0,0,1,"0",1
18640,"0",30,"2",1,"0","1","0",3,1,2,"0",0
8840,"0",36,"2",2,"0","1","1",1,0,4,"0",0
24040,"0",26,"2",1,"0","1","0",3,0,2,"0",2
10680,"0",28,"2",2,"0","1","0",1,0,4,"0",4
26790,"0",29,"3",1,"0","1","0",3,0,1,"1",1
29780,"0",32,"2",1,"0","1","0",3,2,2,"0",2
65600,"0",24,"2",1,"0","1","1",1,1,3,"0",0
12250,"0",37,"2",1,"0","1","0",2,0,2,"0",2
25200,"0",23,"1",1,"0","1","0",1,2,2,"0",0
9830,"0",19,"1",1,"1","0","0",1,3,1,"0",4
21000,"0",37,"2",1,"0","1","0",2,0,2,"0",0
94360,"0",39,"1",2,"0","1","0",3,4,2,"1",2
47460,"0",25,"1",1,"0","1","0",1,0,1,"0",0
83180,"0",42,"3",1,"0","0","0",1,0,4,"0",0
15260,"0",66,"3",1,"0","0","0",0,0,4,"1",4
12360,"0",23,"2",1,"1","0","0",3,0,1,"0",4
10240,"0",48,"2",1,"0","1","0",0,0,1,"0",0
19840,"0",47,"2",1,"0","0","0",3,0,2,"0",4
63500,"0",31,"2",1,"0","1","0",0,4,4,"0",0
14180,"0",35,"1",1,"1","0","1",3,1,2,"0",2
39490,"0",37,"1",2,"0","1","1",2,0,1,"0",1
37770,"0",50,"2",1,"0","1","0",3,3,2,"0",4
18370,"0",34,"1",1,"0","0","0",1,0,3,"0",0
15670,"0",22,"2",1,"0","1","0",1,0,2,"0",1
23230,"0",24,"2",1,"1","0","0",1,0,3,"0",4
13640,"0",64,"2",1,"0","1","1",3,0,2,"0",4
50960,"0",30,"3",1,"0","1","0",1,0,2,"0",0
12250,"0",37,"2",1,"0","1","0",2,0,2,"0",2
70570,"0",36,"3",2,"1","0","0",1,4,3,"1",4
30510,"0",54,"2",1,"0","1","0",0,0,2,"0",0
40570,"1",43,"2",1,"0","1","0",1,0,3,"0",0
11490,"0",46,"2",1,"0","1","0",3,3,2,"0",3
19080,"0",66,"3",1,"0","1","0",2,0,4,"0",0
17660,"0",21,"2",1,"1","0","0",3,0,2,"0",2
15200,"0",63,"2",1,"0","1","0",3,4,4,"0",4
93980,"0",28,"3",1,"1","0","0",1,0,1,"1",0
28720,"0",36,"2",2,"0","1","0",3,1,4,"0",4
15160,"0",43,"1",1,"0","1","0",3,3,2,"0",1
145550,"0",23,"0",1,"0","1","1",1,4,0,"0",0
23150,"0",52,"1",1,"0","1","0",0,0,4,"0",4
64680,"0",52,"3",1,"0","1","0",1,4,0,"0",0
30170,"0",34,"3",1,"1","0","0",1,0,1,"0",1
83180,"0",42,"3",1,"0","0","0",1,0,4,"0",0
19080,"0",66,"3",1,"0","1","0",2,0,4,"0",0
11630,"0",44,"2",1,"0","1","1",3,2,2,"0",4
33780,"0",31,"2",1,"0","1","0",3,4,2,"1",1
27280,"0",35,"2",1,"0","1","0",1,4,3,"0",2
13910,"0",27,"2",1,"0","1","0",1,0,2,"0",1
12440,"0",41,"1",1,"1","0","0",3,4,4,"0",4
41100,"0",23,"2",2,"1","0","0",0,0,4,"0",0
15530,"0",44,"2",1,"0","1","0",0,0,2,"0",0
17660,"0",21,"2",1,"1","0","0",3,0,2,"0",2
34460,"0",42,"2",2,"0","1","0",0,0,4,"0",0
12850,"0",32,"2",1,"1","0","1",0,4,3,"0",0
23660,"1",36,"3",1,"0","1","1",1,2,3,"0",3
25800,"0",41,"1",2,"0","1","0",3,2,1,"0",0
30600,"0",28,"2",1,"0","1","0",1,0,3,"0",0
19080,"0",66,"3",1,"0","1","0",2,0,4,"0",0
19500,"0",34,"2",1,"0","1","0",3,0,3,"0",1
34990,"0",29,"2",1,"0","1","1",0,0,2,"0",0
14420,"0",32,"1",2,"0","0","1",0,0,3,"0",0
17430,"0",34,"1",1,"0","1","0",3,1,2,"0",2
6970,"0",46,"2",1,"0","1","1",0,0,1,"0",0
37570,"0",62,"2",1,"0","0","1",3,0,4,"0",4
12830,"0",25,"2",1,"1","0","1",3,4,3,"0",4
90340,"0",29,"3",1,"1","0","0",1,1,1,"0",0
34990,"0",29,"2",1,"0","1","1",0,0,2,"0",0
62290,"0",23,"1",1,"1","0","0",0,0,1,"0",0
26710,"0",50,"2",1,"0","0","0",1,1,2,"0",0
37580,"0",23,"0",1,"1","0","0",1,2,0,"0",4
31040,"0",31,"2",1,"0","1","0",0,0,3,"0",1
4580,"0",24,"2",1,"0","1","0",1,0,2,"0",3
12950,"0",27,"2",1,"0","1","0",1,0,1,"0",1
7070,"0",30,"2",1,"0","1","0",3,0,2,"0",2
12620,"1",49,"1",1,"0","1","0",0,4,4,"0",4
28640,"0",34,"1",2,"0","1","0",2,0,2,"0",0
30590,"1",61,"1",1,"0","1","0",3,3,3,"0",4
20690,"0",26,"2",1,"0","1","0",3,4,2,"0",1
102970,"0",39,"2",2,"0","0","0",0,0,3,"1",0
25790,"0",33,"1",2,"0","1","1",0,0,1,"0",0
30010,"0",40,"2",1,"1","0","0",1,0,3,"0",4
15680,"0",24,"1",1,"1","0","0",3,1,2,"0",4
27600,"0",36,"2",1,"0","0","0",1,4,4,"1",4
71190,"0",53,"2",2,"0","0","0",0,0,2,"0",0
12440,"0",41,"1",1,"1","0","0",3,4,4,"0",4
27180,"0",20,"1",1,"1","0","1",1,0,2,"0",0
35520,"0",27,"2",1,"0","1","0",0,0,3,"0",0
30170,"0",34,"3",1,"1","0","0",1,0,1,"0",1
34990,"0",29,"2",1,"0","1","1",0,0,2,"0",0
12870,"0",37,"2",1,"0","1","1",3,3,4,"0",4
32340,"0",23,"1",1,"1","0","0",0,0,1,"0",0
10420,"0",33,"2",1,"0","1","1",1,4,2,"0",0
26290,"0",29,"2",1,"0","1","0",1,0,2,"0",3
102970,"0",39,"2",2,"0","0","0",0,0,3,"1",0
12370,"0",24,"2",1,"0","1","0",1,0,2,"0",0
39660,"0",33,"2",1,"1","0","1",0,0,4,"0",0
9000,"0",23,"2",1,"0","1","1",0,4,2,"0",0
34410,"0",21,"2",1,"1","0","0",1,1,2,"0",0
12620,"1",49,"1",1,"0","1","0",0,4,4,"0",4
18370,"0",34,"1",1,"0","0","0",1,0,3,"0",0
65600,"0",24,"2",1,"0","1","1",1,1,3,"0",0
24060,"0",23,"2",1,"1","0","0",0,0,3,"0",0
6720,"0",54,"0",1,"0","1","1",3,0,0,"0",4
20580,"1",33,"2",1,"0","1","0",3,0,2,"0",2
39130,"0",23,"2",1,"0","1","0",2,0,2,"0",2
15300,"0",32,"2",1,"0","1","1",3,0,2,"0",0
71740,"0",30,"3",1,"0","1","0",0,4,3,"0",0
15670,"0",22,"2",1,"0","1","0",1,0,2,"0",1
33490,"0",28,"3",1,"0","1","0",3,0,2,"0",0
13450,"0",26,"2",1,"0","1","0",0,0,2,"0",0
14090,"0",54,"2",1,"0","1","0",0,0,4,"1",3
17210,"0",36,"2",1,"0","1","1",0,0,1,"0",3
48430,"0",43,"2",1,"1","0","1",0,0,4,"0",0
28990,"0",43,"2",2,"0","1","1",1,4,4,"0",4
15370,"0",50,"2",1,"0","1","0",1,4,4,"0",4
15260,"0",66,"3",1,"0","0","0",0,0,4,"1",4
14180,"0",35,"1",1,"1","0","1",3,1,2,"0",2
14740,"0",33,"3",1,"0","1","0",2,0,1,"0",1
42100,"0",26,"2",1,"0","1","0",2,0,2,"0",0
36170,"0",20,"2",1,"1","0","0",2,4,4,"0",4
9020,"0",21,"2",1,"1","0","0",0,0,3,"0",0
14690,"0",41,"1",1,"1","0","1",3,1,4,"0",4
26790,"0",29,"3",1,"0","1","0",3,0,1,"1",1
33780,"0",31,"2",1,"0","1","0",3,4,2,"1",1
101440,"0",21,"2",1,"0","1","0",3,1,3,"0",4
19670,"0",20,"2",1,"0","1","0",1,0,4,"0",4
47360,"0",25,"1",1,"0","1","0",1,0,1,"0",0
9510,"0",27,"2",1,"1","0","0",1,1,1,"0",0
38440,"0",34,"1",2,"0","0","0",1,1,3,"0",0
27080,"0",27,"1",1,"0","1","0",3,0,1,"0",3
28640,"0",34,"1",2,"0","1","0",2,0,2,"0",0
69670,"0",36,"3",1,"1","0","0",1,1,3,"0",4
9470,"0",38,"2",2,"0","0","1",2,0,3,"0",0
21000,"0",37,"2",1,"0","1","0",2,0,2,"0",0
12620,"0",25,"2",1,"0","1","0",3,0,2,"0",2
10380,"0",49,"2",1,"0","1","1",0,0,3,"0",3
34470,"0",35,"1",2,"0","1","0",3,2,2,"0",3
21410,"0",35,"2",1,"0","1","0",3,1,3,"0",1
115600,"0",23,"3",1,"1","0","0",1,0,2,"1",0
13330,"0",43,"2",2,"0","0","1",0,0,0,"0",0
10550,"0",30,"2",1,"0","1","1",3,0,1,"0",1
25700,"0",21,"2",1,"1","0","1",3,0,2,"0",0
30010,"0",40,"2",1,"1","0","0",1,0,3,"0",4
77210,"0",30,"2",1,"0","1","0",0,4,1,"0",2
11690,"0",67,"2",1,"0","1","0",0,4,4,"0",4
11310,"0",33,"2",1,"0","1","0",0,0,0,"0",0
19250,"0",26,"2",1,"0","1","0",2,0,2,"0",2
12820,"0",32,"1",1,"0","1","0",0,1,2,"0",0
10280,"0",36,"2",1,"0","1","1",3,0,2,"0",3
15530,"0",44,"2",1,"0","1","0",0,0,2,"0",0
26290,"0",29,"2",1,"0","1","0",1,0,2,"0",3
47360,"0",25,"1",1,"0","1","0",1,0,1,"0",0
12450,"0",33,"2",1,"0","1","0",1,0,2,"0",0
14180,"0",35,"1",1,"1","0","1",3,1,2,"0",2
13460,"0",42,"2",2,"0","0","0",3,1,4,"0",4
15950,"0",51,"2",2,"0","1","0",3,0,3,"0",2
23020,"1",31,"2",1,"1","0","0",0,0,2,"0",0
