"COLLEGE","INCOME","OVERAGE","LEFTOVER","HOUSE","HANDSET_PRICE","OVER_15MINS_CALLS_PER_MONTH","AVERAGE_CALL_DURATION","REPORTED_SATISFACTION","REPORTED_USAGE_LEVEL","LEAVE","ID"
"zero",108535,187,20,730554,639,5,4,"unsat","high","no",9993
"one",159926,215,0,974692,446,18,15,"very_unsat","very_high","no",8992
"zero",49507,213,0,201108,139,15,11,"very_unsat","little","yes",8684
"one",42065,228,16,743997,376,28,6,"unsat","very_high","yes",6808
"one",42333,0,0,854889,217,0,12,"sat","little","no",4266
"one",44204,80,0,234719,254,14,8,"very_unsat","little","no",1364
"zero",92270,0,39,624619,251,0,1,"very_unsat","little","no",1640
"one",80681,0,0,619412,333,0,15,"very_unsat","avg","no",111
"one",27501,128,0,294869,239,10,13,"very_unsat","very_high","no",717
"zero",129659,38,6,704472,796,4,5,"very_sat","little","no",2831
"zero",44610,0,45,988767,243,0,1,"very_unsat","little","no",8682
"zero",112849,0,13,491201,314,27,6,"very_unsat","very_little","no",1776
"one",59259,54,19,537568,216,5,6,"unsat","little","no",4793
"zero",128183,0,19,519345,407,0,4,"very_unsat","little","no",8549
"one",112843,0,36,847042,720,NA,1,"unsat","high","no",2746
"one",106700,0,0,905898,366,0,8,"very_unsat","very_high","no",8385
"one",61663,48,15,282374,371,5,4,"avg","very_high","no",1791
"one",121242,41,21,703565,767,3,1,"very_sat","little","yes",9584
"one",60032,190,0,299895,309,27,14,"very_unsat","very_high","yes",8231
"one",49791,198,0,830412,316,28,11,"sat","little","no",1780
"zero",71556,159,63,225686,321,29,1,"very_unsat","very_high","no",9813
"one",20320,0,0,244496,226,0,4,"very_sat","very_little","yes",925
"zero",91704,251,12,266170,324,20,4,"unsat","high","yes",7184
"one",69188,0,0,301426,364,26,14,"very_unsat","avg","no",2388
"one",29513,0,0,534150,189,4,10,"unsat","little","no",180
"one",68312,0,0,194598,297,1,14,"very_sat","very_little","yes",7741
"one",123466,86,9,547665,779,5,4,"very_sat","high","no",6682
"one",125896,0,0,933338,660,1,4,"very_sat","avg","no",9860
"one",72637,0,0,335556,322,1,8,"unsat","little","no",2386
"zero",73354,204,44,170565,611,12,2,"avg","high","no",7780
"one",44738,187,15,229548,240,16,5,"very_unsat","little","no",5543
"one",59505,91,74,362390,254,5,12,"unsat","high","no",3289
"zero",25521,0,0,376753,660,14,9,"very_unsat","very_high","no",7169
"one",72873,74,9,156539,392,4,6,"very_unsat","very_high","no",1301
"one",78353,0,89,777993,340,0,1,"very_unsat","little","no",746
"zero",159400,44,19,889550,639,4,4,"unsat","very_little","no",311
"one",112446,0,10,197195,180,26,10,"unsat","little","no",5636
"one",51984,0,0,985758,306,0,9,"very_unsat","high","no",9838
"zero",46060,0,6,316582,160,5,5,"very_unsat","little","no",5034
"one",137598,0,20,321452,619,1,6,"unsat","very_little","no",4578
"one",106322,46,20,311872,181,3,5,"avg","very_little","no",3095
"zero",154009,0,0,195963,727,1,8,"very_unsat","little","no",8050
"zero",24236,0,46,299615,233,1,2,"very_unsat","very_high","yes",6419
"zero",139595,80,0,442444,827,3,15,"very_sat","very_high","yes",6837
"zero",33559,44,0,982296,214,4,9,"very_sat","very_little","no",3236
"zero",75842,206,0,187501,298,21,13,"very_sat","avg","no",4830
"one",156622,192,0,214692,175,0,9,"very_unsat","very_high","no",5348
"one",95773,0,14,869634,339,0,6,"unsat","very_high","no",5715
"one",44029,0,23,854808,346,1,4,"very_unsat","very_little","no",5704
"zero",55850,218,0,181980,395,20,10,"very_sat","very_high","yes",7966
"zero",72977,57,6,203547,273,3,4,"sat","very_high","no",217
"one",122027,74,53,265293,246,4,2,"very_unsat","little","no",1086
"zero",48191,40,65,191663,230,4,2,"very_unsat","very_little","yes",7458
"zero",138478,61,0,156603,588,4,13,"very_unsat","little","no",7157
"zero",87248,0,0,175648,250,0,10,"unsat","little","no",8842
"zero",39158,150,0,584974,218,22,12,"very_unsat","very_little","no",809
"one",38771,0,0,275870,248,1,15,"very_unsat","high","no",7762
"zero",141300,231,22,789637,524,25,5,"very_sat","very_little","yes",9909
"zero",86325,0,0,277245,337,0,14,"very_unsat","very_high","no",2912
"zero",88984,0,43,966504,382,0,1,"very_unsat","high","no",807
"one",117887,0,39,541554,630,1,2,"unsat","little","no",3402
"one",103941,189,27,862439,866,12,2,"unsat","very_little","no",4523
"zero",44572,75,0,234036,354,4,15,"very_sat","little","yes",7177
"zero",83098,0,0,230242,370,1,13,"very_sat","little","no",9786
"zero",110712,230,0,223123,699,17,4,"sat","little","yes",8474
"one",108640,0,19,422489,360,1,4,"avg","little","no",7817
"one",91392,0,16,245960,355,4,5,"very_sat","little","no",7882
"zero",98807,0,9,304443,265,0,4,"very_unsat","high","no",9547
"one",144723,222,40,291803,589,18,1,"very_sat","high","no",2998
"zero",118522,0,78,225408,872,1,1,"avg","avg","yes",6563
"one",31000,0,18,222824,389,0,6,"very_sat","little","no",3696
"one",125573,0,0,878284,428,1,8,"unsat","very_high","no",6068
"one",42594,225,45,296048,199,22,2,"very_unsat","little","no",5640
"one",98323,236,52,772327,296,11,1,"unsat","little","no",826
"zero",66585,0,71,265504,271,24,1,"sat","very_high","no",910
"one",71030,0,0,815968,256,1,15,"very_unsat","little","no",2294
"one",55409,0,72,364541,302,1,2,"very_sat","little","no",4056
"zero",39009,0,24,877252,222,0,6,"very_unsat","little","yes",1180
"zero",36022,65,48,811352,162,3,1,"unsat","high","no",6387
"one",38708,183,5,923378,215,21,5,"very_sat","very_high","no",1495
"one",150368,95,39,717717,461,3,2,"very_unsat","little","yes",5618
"one",80002,0,19,314857,368,1,4,"avg","very_high","yes",3764
"zero",79809,229,5,710502,355,24,4,"very_sat","very_high","yes",5492
"one",150853,182,0,454078,453,12,8,"very_sat","very_high","yes",2332
"zero",49305,38,0,614233,184,24,13,"unsat","very_little","no",2382
"zero",108734,234,15,151385,858,20,15,"unsat","little","no",1295
"one",47622,186,37,746833,203,18,2,"very_unsat","very_high","no",1345
"one",147287,0,69,246962,599,0,2,"very_sat","very_high","yes",7451
"zero",132914,50,12,371537,615,5,6,"unsat","very_high","no",6506
"one",50691,192,21,451336,268,25,4,"sat","very_little","no",8760
"one",76830,0,87,421950,395,1,1,"avg","very_high","no",7721
"zero",42240,231,0,997908,241,21,12,"unsat","little","no",3822
"zero",144524,163,6,153237,875,17,5,"very_unsat","very_high","no",4294
"one",106937,212,23,321651,468,19,6,"unsat","little","yes",8728
"zero",149859,48,24,660267,464,3,6,"very_unsat","very_little","no",2224
"zero",36403,157,10,217284,189,17,4,"very_unsat","little","no",8341
"zero",51353,0,0,415738,383,0,10,"unsat","very_high","no",4869
"one",46762,0,0,799421,242,0,12,"very_sat","little","yes",577
"one",114611,67,22,596015,488,5,4,"very_unsat","avg","yes",7725
"zero",94608,0,59,168532,339,14,2,"very_unsat","very_high","no",7373
"zero",153812,0,14,169297,786,0,4,"very_unsat","very_little","yes",6168
"one",52259,56,17,858324,291,5,5,"very_unsat","little","no",4854
"one",141316,203,0,162681,531,22,1,"very_sat","very_high","no",2727
"zero",37201,209,0,776390,150,25,9,"very_sat","very_high","yes",5497
"one",144171,157,0,532765,627,26,12,"very_unsat","little","no",2493
"zero",122465,194,18,398587,150,0,1,"very_unsat","little","no",3935
"zero",155379,0,61,226969,506,1,1,"unsat","very_little","no",3903
"one",64590,52,7,821535,333,4,6,"very_sat","very_little","no",8079
"one",20717,210,44,335272,143,10,2,"unsat","very_little","no",4470
"zero",106259,54,0,590741,899,5,1,"very_unsat","high","no",893
"one",66419,0,21,478119,276,0,5,"very_unsat","little","yes",9872
"one",91651,0,0,303857,387,1,2,"very_unsat","very_high","no",1913
"one",114343,0,0,407267,877,1,13,"very_unsat","little","no",5802
"zero",79439,0,49,708866,377,1,4,"very_unsat","very_high","no",6845
"one",33011,173,0,996170,173,11,5,"very_unsat","very_high","no",1807
"zero",32692,180,44,486943,195,21,2,"unsat","little","no",3352
"zero",106442,49,74,277055,874,5,2,"very_sat","little","no",4257
"one",100908,204,88,964159,772,28,2,"sat","little","no",7930
"one",139452,167,81,313280,556,15,2,"very_sat","very_little","no",7216
"zero",116843,0,36,172871,822,1,2,"very_unsat","little","no",6159
"zero",156137,0,0,239497,695,1,13,"unsat","very_high","no",8508
"zero",82833,47,0,318260,265,5,13,"avg","very_little","no",8767
"one",25055,221,11,222400,240,24,4,"very_unsat","very_high","no",452
"one",118014,0,63,731117,858,1,1,"very_sat","very_little","no",173
"one",124222,78,22,430085,632,3,4,"unsat","avg","yes",8350
"zero",46092,0,20,626196,222,1,4,"unsat","very_high","no",1043
"one",104705,0,7,281334,735,0,2,"unsat","very_little","no",88
"one",151403,49,89,697248,651,3,1,"unsat","little","yes",8697
